jobid,company_name,date_posted_parsed,job_title,description_text,benefits,qualifications,job_type,location,salary_formatted,company_rating,company_reviews_count,country,date_posted,description,region,company_link,company_website,domain,apply_link,srcname,url,is_expired,discovery_input
      DUTIES AND ESSENTIAL JOB FUNCTIONS:     Provides superior customer service to exceed the customer’s expectations supporting a customer first store culture; greet and assists customers, and operate cash register and scanner to itemize the customer’s purchase.   Model product knowledge and selling techniques to enhance the customer experience. Help facilitate and maintain a safe, clean and well-organized store environment that delights our customers and employees while training team on techniques.   Assist Store Team Leader with scheduling employees, providing adequate training for employees, conducting safety meetings, and ensuring employee compliance with company policies and procedures   Open and close store a minimum of two days per week.   Follow company work processes to manage merchandise, including receiving, unpacking, stocking, restocking and rotating merchandise on shelves and building merchandise displays. Assist in implementation and maintenance of plan-o-zones; ensure merchandise is presented according to established practices and Store Team Leader direction.   Assist in maintaining accurate inventory levels by controlling damages, markdowns, scanning, paperwork, and facility controls.   Assist in ensuring financial integrity of the store through strict cash accountability, key control, adherences to company security practices and cash control procedures; authorize and sign for refunds and overrides, count register tills, and deposit money in bank.     KNOWLEDGE AND SKILLS:     Ability to read and interpret documents such as diagrams, safety rules, operating and maintenance instructions, and procedures manuals.   Ability to perform mathematical calculations such as addition, subtraction, multiplication, division
  As a Substance Use Disorder Family Support Specialist with Wellspring, you’ll be part of a team of social workers and therapists committed to helping families throughout the Clare, Gladwin, Gratiot, Isabella and Midland Counties. In this position, you'll directly assist families in their communities to help them create a supportive and sober community, accessing the resources they need. Utilizing motivational interviewing, you will bring your experience working with individuals and families affected by substance use and a Master’s degree with a major in one of the following human services areas: social work, sociology, psychology, family ecology, consumer/community services, family studies, family and/or child development, guidance/school counseling, counseling psychology or criminal justice. Within three months of hire you will have started the process of a Michigan Certification Board for Addiction Professionals (MCBAP) approved development plan toward the achievement of one of the following certifications: Certified Advanced Alcohol and Drug Counselor (CAADC), Certified Alcohol and Drug Counselor (CADC), Certified Co-Occurring Disorders Professional (CCDP), and must maintain the MCBAP certification. You will have a valid drivers license and will be required to drive to meet clients in specified counties.  Here is some of what you will be responsible for:    Provide outreach-counseling services to families affected by substance use disorder or at actual risk of having their children removed from their home due to child abuse and/or neglect. Provide skill-based intervention and support for families when a parent is alcohol or drug affected, or has been found to have a co-occurring disorder and assist to reduce risk factors and bring stability to the family   Assess current living conditions such as stable housing, income/employment, developmental history, substance use/abuse, family structure
  As a Substance Use Disorder Family Support Specialist with Wellspring, you’ll be part of a team of social workers and therapists committed to helping families throughout the Clare, Gladwin, Gratiot, Isabella and Midland Counties. In this position, you'll directly assist families in their communities to help them create a supportive and sober community, accessing the resources they need. Utilizing motivational interviewing, you will bring your experience working with individuals and families affected by substance use and a Master’s degree with a major in one of the following human services areas: social work, sociology, psychology, family ecology, consumer/community services, family studies, family and/or child development, guidance/school counseling, counseling psychology or criminal justice. Within three months of hire you will have started the process of a Michigan Certification Board for Addiction Professionals (MCBAP) approved development plan toward the achievement of one of the following certifications: Certified Advanced Alcohol and Drug Counselor (CAADC), Certified Alcohol and Drug Counselor (CADC), Certified Co-Occurring Disorders Professional (CCDP), and must maintain the MCBAP certification. You will have a valid drivers license and will be required to drive to meet clients in specified counties.  Here is some of what you will be responsible for:    Provide outreach-counseling services to families affected by substance use disorder or at actual risk of having their children removed from their home due to child abuse and/or neglect. Provide skill-based intervention and support for families when a parent is alcohol or drug affected, or has been found to have a co-occurring disorder and assist to reduce risk factors and bring stability to the family   Assess current living conditions such as stable housing, income/employment, developmental history, substance use/abuse, family structure
 You Will:    Pick and pack items for dispatch to customers   Receive product from vendors, ensure physical count matches purchase order/invoice, and resolve discrepancies   Inventory management and re-shelving of canceled orders   Clean and organize warehouse   Manage waste and spoilage through strict compliance with FIFO practice   Contact customer for substituted or out-of-stock items   Perks of the Flexer Role:    The ability to work when you want, as long as the shift is available   Flexibility to work a minimum of 16 hours per month, with the opportunity to work up to 30 hours a week   Your schedule doesn’t have to be the same week over week, it can vary based on your availability   You Have:    High School Diploma or GED Equivalent   Experience working in a restaurant, retail or warehouse environment (preferred, not required)   The ability to work a minimum of 16 hours per month, and up to 30 hours a week depending on your availability   We care about our team and want to make sure you know what to expect:    Handle, scan and move product in a safe and well-organized manner   Stand, push, pull, squat, bend, reach and walk during shifts   Use carts, pallet jacks, dollies and other equipment to move product   Lift up to 20 pounds   Handle products that may contain tobacco, nicotine, and/or alcohol   Work in freezer locations periodically throughout shifts   Pay Range    $16.55     Benefits     We want to help our employees stay safe and healthy! We offer comprehensive medical, dental, and vision insurance, optional FSAs and HSA plans, 401k, commuter benefits
 You Will:    Pick and pack items for dispatch to customers   Receive product from vendors, ensure physical count matches purchase order/invoice, and resolve discrepancies   Inventory management and re-shelving of canceled orders   Clean and organize warehouse   Manage waste and spoilage through strict compliance with FIFO practice   Contact customer for substituted or out-of-stock items   Perks of the Flexer Role:    The ability to work when you want, as long as the shift is available   Flexibility to work a minimum of 16 hours per month, with the opportunity to work up to 30 hours a week   Your schedule doesn’t have to be the same week over week, it can vary based on your availability   You Have:    High School Diploma or GED Equivalent   Experience working in a restaurant, retail or warehouse environment (preferred, not required)   The ability to work a minimum of 16 hours per month, and up to 30 hours a week depending on your availability   We care about our team and want to make sure you know what to expect:    Handle, scan and move product in a safe and well-organized manner   Stand, push, pull, squat, bend, reach and walk during shifts   Use carts, pallet jacks, dollies and other equipment to move product   Lift up to 20 pounds   Handle products that may contain tobacco, nicotine, and/or alcohol   Work in freezer locations periodically throughout shifts   Pay Range    $16.55     Benefits     We want to help our employees stay safe and healthy! We offer comprehensive medical, dental, and vision insurance, optional FSAs and HSA plans, 401k, commuter benefits
   DaVita is seeking a Patient Care Technician who is looking to give life in an outpatient dialysis center. You can make an exceptional difference in the lives of our patients and their families dealing with end-stage renal failure or chronic kidney disease. Do you desire to deliver care in an empathetic, compassionate way - the way you'd want your own care to be?   If you haven't considered Nephrology before, read on as we think that you should.   Joining DaVita as Patient Care Technician (PCT) is an exciting opportunity to jump start your career in the health care industry! With paid, extensive training, you will gain the skills needed to care for our patients and build a network of other health care professionals across the geography where you live. Once you have successfully completed training, you will join a holistic team of care professionals – including nurses, dietitian, social workers, and other experienced PCTs – to care for our patients. It's not a job," it's giving life and a career based on passion and purpose.   DaVita – which is Italian for """"giving life"""" – is working to provide quality service to patients", partners, and teammates. Our mission is to be the Provider, Partner, and Employer of Choice.   Our PCTs also find DaVita professionally fulfilling. To help advance your career, we offer clear paths to higher levels of responsibility and compensation through our Clinical Ladders program. Through DaVita's Bridge to your Dreams program, teammates who have been in their role for six consecutive months and in good standing, are eligible to receive tuition assistance up front to pursue their dream of becoming a DaVita RN and getting their Associates Degree in Nursing. We also have dedicated training to become a Facility Administrator, and training to become a Regional Operations Director. Your success is driven by your performance and desire.   Some details about this position:     No Dialysis experience is required.   Training may take place in a facility or a training clinic other than your assigned home clinic   Potential to float to various clinics during and after your training   You must have a flexible schedule and be able to work mornings, evenings, weekends, and holidays    What you can expect:     Direct Patient Care. Spend the majority of your day in direct one-on-one patient care to provide safe, comfortable and hygienic dialysis treatment.   Our PCTs care for multiple patients.   Technician Duties. To monitor patients before, during and after dialysis treatment including measuring and recording stats, patient observations
   DaVita is seeking a Patient Care Technician who is looking to give life in an outpatient dialysis center. You can make an exceptional difference in the lives of our patients and their families dealing with end-stage renal failure or chronic kidney disease. Do you desire to deliver care in an empathetic, compassionate way - the way you'd want your own care to be?   If you haven't considered Nephrology before, read on as we think that you should.   Joining DaVita as Patient Care Technician (PCT) is an exciting opportunity to jump start your career in the health care industry! With paid, extensive training, you will gain the skills needed to care for our patients and build a network of other health care professionals across the geography where you live. Once you have successfully completed training, you will join a holistic team of care professionals – including nurses, dietitian, social workers, and other experienced PCTs – to care for our patients. It's not a job," it's giving life and a career based on passion and purpose.   DaVita – which is Italian for """"giving life"""" – is working to provide quality service to patients", partners, and teammates. Our mission is to be the Provider, Partner, and Employer of Choice.   Our PCTs also find DaVita professionally fulfilling. To help advance your career, we offer clear paths to higher levels of responsibility and compensation through our Clinical Ladders program. Through DaVita's Bridge to your Dreams program, teammates who have been in their role for six consecutive months and in good standing, are eligible to receive tuition assistance up front to pursue their dream of becoming a DaVita RN and getting their Associates Degree in Nursing. We also have dedicated training to become a Facility Administrator, and training to become a Regional Operations Director. Your success is driven by your performance and desire.   Some details about this position:     No Dialysis experience is required.   Training may take place in a facility or a training clinic other than your assigned home clinic   Potential to float to various clinics during and after your training   You must have a flexible schedule and be able to work mornings, evenings, weekends, and holidays    What you can expect:     Direct Patient Care. Spend the majority of your day in direct one-on-one patient care to provide safe, comfortable and hygienic dialysis treatment.   Our PCTs care for multiple patients.   Technician Duties. To monitor patients before, during and after dialysis treatment including measuring and recording stats, patient observations
   Essential Job Functions     Responsibilities include, but are not limited to:     Apply intermediate working knowledge of facilities maintenance such as HVAC, electrical, plumbing, and repairs as needed. (25% time)   Performs plumbing maintenance such as pipes, drains, faucets, disposals, showers, and Jacuzzi tubs using methods that include soldering, brazing silver, PVC, CPVC, and fittings. (10% time)   Resets, replaces breakers, ballasts, and other electrical fixtures including switches and sockets; prevent and trouble shoot possible electric hazards. (20% time)   Completes preventative programs on all systems such as HVAC, boilers, pool certification, etc. (20% time)   Complete repairs on interior walls, wall coverings, and ceilings by patching drywall, replacing wood or wall coverings or texture, and painting. (10% time)   Maintains the unit readiness
   Essential Job Functions     Responsibilities include, but are not limited to:     Apply intermediate working knowledge of facilities maintenance such as HVAC, electrical, plumbing, and repairs as needed. (25% time)   Performs plumbing maintenance such as pipes, drains, faucets, disposals, showers, and Jacuzzi tubs using methods that include soldering, brazing silver, PVC, CPVC, and fittings. (10% time)   Resets, replaces breakers, ballasts, and other electrical fixtures including switches and sockets; prevent and trouble shoot possible electric hazards. (20% time)   Completes preventative programs on all systems such as HVAC, boilers, pool certification, etc. (20% time)   Complete repairs on interior walls, wall coverings, and ceilings by patching drywall, replacing wood or wall coverings or texture, and painting. (10% time)   Maintains the unit readiness
         providing legal support and advice concerning the preparation and filing of Teleflex’s current and periodic reports on Forms 8-K,10-K, and 10-Q;     preparation and filing of Teleflex’s annual proxy statement, including preparation of the CD&A disclosure and handling of shareholder proposals, and providing legal support in connection with Teleflex’s annual meeting of shareholders;     providing legal support and advice to Teleflex’s investor relations department on disclosure matters, including review of annual and quarterly earnings announcements, press releases, investor presentations, investor communications, and other materials;     providing legal support and advice to Teleflex’s communications, public relations, and human resources departments on internal and external announcements, press releases, presentations, communications, and other materials;     preparation and filing of Section 16 reports and the management of Teleflex’s securities trading policy and procedures; providing legal support and advice in connection with Teleflex’s ESG Program, including review of the Company’s annual ESG report;     providing legal support and advice in connection with Teleflex’s public securities offerings, borrowing facilities, and other financing transactions and activities;     supporting the Associate General Counsel and General Counsel on corporate governance and Teleflex Board matters, including assistance with the preparation of materials, coordination of agendas, drafting of minutes, and monitoring and ensuring compliance with Board and Committee responsibilities;     supporting the Associate General Counsel concerning legal entity management and governance;     directing and overseeing the work of outside securities and governance counsel;     collaborating with business partners to devise appropriate legal strategies associated with securities reporting and governance activities;     supporting the Associate General Counsel on M&A, Real Estate
         providing legal support and advice concerning the preparation and filing of Teleflex’s current and periodic reports on Forms 8-K,10-K, and 10-Q;     preparation and filing of Teleflex’s annual proxy statement, including preparation of the CD&A disclosure and handling of shareholder proposals, and providing legal support in connection with Teleflex’s annual meeting of shareholders;     providing legal support and advice to Teleflex’s investor relations department on disclosure matters, including review of annual and quarterly earnings announcements, press releases, investor presentations, investor communications, and other materials;     providing legal support and advice to Teleflex’s communications, public relations, and human resources departments on internal and external announcements, press releases, presentations, communications, and other materials;     preparation and filing of Section 16 reports and the management of Teleflex’s securities trading policy and procedures; providing legal support and advice in connection with Teleflex’s ESG Program, including review of the Company’s annual ESG report;     providing legal support and advice in connection with Teleflex’s public securities offerings, borrowing facilities, and other financing transactions and activities;     supporting the Associate General Counsel and General Counsel on corporate governance and Teleflex Board matters, including assistance with the preparation of materials, coordination of agendas, drafting of minutes, and monitoring and ensuring compliance with Board and Committee responsibilities;     supporting the Associate General Counsel concerning legal entity management and governance;     directing and overseeing the work of outside securities and governance counsel;     collaborating with business partners to devise appropriate legal strategies associated with securities reporting and governance activities;     supporting the Associate General Counsel on M&A, Real Estate
    Service and Kitchen Team Qualifications   Your background & experience: ? Friendly and helpful team members ? Operations experience is a plus ? Some high school ? Food Handler certification may be required depending on local requirements, acquired at your expense   ADA Statement:   While performing duties, counter areas are often hot with steam from steam table and food vapors. Workspace is restricted and employees are generally expected to remain standing for long periods of time. Employees must prepare hot and cold foods, use Chinese cook knife and other kitchen equipment and work quickly without losing accuracy. Employees must be able to lift up to 50 lbs., stand up to four hours and reach across counter tops measured at 36 inches to serve customers. Kitchens are hot and noise levels are usually high; storage space is limited and shelving is high. Employees must be able to work in a fast-paced work environment, have effective verbal communication skills, ability to adapt to a dynamic environment with changing priorities, and the ability to manage conflicts/difficult situations.   Panda Strong since 1983:   Founded in Glendale, California, we are now the largest family-owned American Chinese Restaurant concept in America. With close to 2,300 locations globally, we continue our mission of delivering exceptional Asian dining experiences by building an organization where people are inspired to better their lives. Whether it’s impacting our team or the communities we work in, we’re proud to be an organization that embraces family values.   You’re wanted here: We value diversity in all forms and know the strength it brings. Workplace equality allows for creative ideas to bloom, diverse points of view to be heard, and improves overall happiness. We like the sound of that.   Panda Restaurant Group, Inc. is an Equal Opportunity Employer and is committed to providing equal opportunity, and does not discriminate on the basis of any characteristic protected by law, including but not limited to sex/gender (including pregnancy, childbirth, lactation and related conditions), gender expression, race, color, religion
    Service and Kitchen Team Qualifications   Your background & experience: ? Friendly and helpful team members ? Operations experience is a plus ? Some high school ? Food Handler certification may be required depending on local requirements, acquired at your expense   ADA Statement:   While performing duties, counter areas are often hot with steam from steam table and food vapors. Workspace is restricted and employees are generally expected to remain standing for long periods of time. Employees must prepare hot and cold foods, use Chinese cook knife and other kitchen equipment and work quickly without losing accuracy. Employees must be able to lift up to 50 lbs., stand up to four hours and reach across counter tops measured at 36 inches to serve customers. Kitchens are hot and noise levels are usually high; storage space is limited and shelving is high. Employees must be able to work in a fast-paced work environment, have effective verbal communication skills, ability to adapt to a dynamic environment with changing priorities, and the ability to manage conflicts/difficult situations.   Panda Strong since 1983:   Founded in Glendale, California, we are now the largest family-owned American Chinese Restaurant concept in America. With close to 2,300 locations globally, we continue our mission of delivering exceptional Asian dining experiences by building an organization where people are inspired to better their lives. Whether it’s impacting our team or the communities we work in, we’re proud to be an organization that embraces family values.   You’re wanted here: We value diversity in all forms and know the strength it brings. Workplace equality allows for creative ideas to bloom, diverse points of view to be heard, and improves overall happiness. We like the sound of that.   Panda Restaurant Group, Inc. is an Equal Opportunity Employer and is committed to providing equal opportunity, and does not discriminate on the basis of any characteristic protected by law, including but not limited to sex/gender (including pregnancy, childbirth, lactation and related conditions), gender expression, race, color, religion
                                                               **This position requires you to physically HAND load tires in the trailer with the help of a driver helper**                                                                      Benefits:                          Paid Overtime!!              Profit-Sharing Plan. Last year everyone received 11 paid days.              100% company-paid benefits (medical, dental, vision) for you and your children - Enroll on DAY 1              Paid holidays, paid vacation, and sick days              Stable and growing organization (4 new locations in 4 months)              Clean, Late Model Tractors              Consistent home time with great work-to-life balance              Professional, positive, and people-centered work environment              Free set of any tires once a year (eligible after first 90 days of employment)              401K                         Local CDL A Truck Driver Requirements:                          Register to the FMCSA Clearinghouse*              Must be at least 21 years of age              Must have valid CDL Class A issued by the state of legal residence with necessary endorsements and DOT qualifications              Successfully complete a pre-employment DOT drug screen and background check, previous employment check, and criminal history              Good driving record / MVR              Legally able to work in the United States              Physical requirements: while performing the duties of the job is to sit, stand, walk, bend, stoop, reach, lift, push, pull, carry and manipulate large and heavy tires up to 150 lbs                         Who We Are:             Castle Tire is a leading service provider focused on recycling the world’s tires since 1983. We are strongly committed to a foundation of operational excellence, professionalism, and financial strength. With over 150 proud employees, 14 locations, and 6 processing plants, we process over 12
                                                               **This position requires you to physically HAND load tires in the trailer with the help of a driver helper**                                                                      Benefits:                          Paid Overtime!!              Profit-Sharing Plan. Last year everyone received 11 paid days.              100% company-paid benefits (medical, dental, vision) for you and your children - Enroll on DAY 1              Paid holidays, paid vacation, and sick days              Stable and growing organization (4 new locations in 4 months)              Clean, Late Model Tractors              Consistent home time with great work-to-life balance              Professional, positive, and people-centered work environment              Free set of any tires once a year (eligible after first 90 days of employment)              401K                         Local CDL A Truck Driver Requirements:                          Register to the FMCSA Clearinghouse*              Must be at least 21 years of age              Must have valid CDL Class A issued by the state of legal residence with necessary endorsements and DOT qualifications              Successfully complete a pre-employment DOT drug screen and background check, previous employment check, and criminal history              Good driving record / MVR              Legally able to work in the United States              Physical requirements: while performing the duties of the job is to sit, stand, walk, bend, stoop, reach, lift, push, pull, carry and manipulate large and heavy tires up to 150 lbs                         Who We Are:             Castle Tire is a leading service provider focused on recycling the world’s tires since 1983. We are strongly committed to a foundation of operational excellence, professionalism, and financial strength. With over 150 proud employees, 14 locations, and 6 processing plants, we process over 12
           Our Values:       We believe in a people-first approach: To serve the people of Colorado, we develop a culture and work environment that creates an energized, inspired, and healthy team capable of giving their best to Coloradans.    Balance creates quality of life: We want our team to be resilient through a supportive workplace that values flexibility, health and wellness, and employee engagement.    We hold ourselves accountable: We take responsibility through our actions, programs, and results for the state of health and human services in Colorado.    Transparency matters: We are open and honest with employees, our partners, the Coloradans we serve, and the public.    We are ethical: We abide by what is best for those we serve by doing what is right, not what is easy.    Collaboration helps us rise together: We work together with all partners, employees, and clients to achieve the best outcomes for Coloradans.    We are committed to increasing the diversity of our staff and providing culturally responsive programs and services. Therefore, we encourage responses from people of diverse backgrounds and abilities.    ADAA Accommodations: CDHS is committed to the full inclusion of all qualified individuals. As part of this commitment, our agency will assist individuals who have a disability with any reasonable accommodation requests related to employment, including completing the application process, interviewing, completing any pre-employment testing, participating in the employee selection process, and/or to perform essential job functions where the requested accommodation does not impose an undue hardship. If you have a disability and require reasonable accommodation to ensure you have a positive experience applying or interviewing for this position, please direct your inquiries to our ADAAA Coordinator, Nancy Schmelzer," at cdhs_ada@state.co.us or call 1-800-929-0791.    ~THE STATE OF COLORADO IS AN EQUAL OPPORTUNITY EMPLOYER~           Toll Free Applicant Technical Support"""
           Our Values:       We believe in a people-first approach: To serve the people of Colorado, we develop a culture and work environment that creates an energized, inspired, and healthy team capable of giving their best to Coloradans.    Balance creates quality of life: We want our team to be resilient through a supportive workplace that values flexibility, health and wellness, and employee engagement.    We hold ourselves accountable: We take responsibility through our actions, programs, and results for the state of health and human services in Colorado.    Transparency matters: We are open and honest with employees, our partners, the Coloradans we serve, and the public.    We are ethical: We abide by what is best for those we serve by doing what is right, not what is easy.    Collaboration helps us rise together: We work together with all partners, employees, and clients to achieve the best outcomes for Coloradans.    We are committed to increasing the diversity of our staff and providing culturally responsive programs and services. Therefore, we encourage responses from people of diverse backgrounds and abilities.    ADAA Accommodations: CDHS is committed to the full inclusion of all qualified individuals. As part of this commitment, our agency will assist individuals who have a disability with any reasonable accommodation requests related to employment, including completing the application process, interviewing, completing any pre-employment testing, participating in the employee selection process, and/or to perform essential job functions where the requested accommodation does not impose an undue hardship. If you have a disability and require reasonable accommodation to ensure you have a positive experience applying or interviewing for this position, please direct your inquiries to our ADAAA Coordinator, Nancy Schmelzer," at cdhs_ada@state.co.us or call 1-800-929-0791.    ~THE STATE OF COLORADO IS AN EQUAL OPPORTUNITY EMPLOYER~           Toll Free Applicant Technical Support      """
  Pratt & Whitney is working to once again transform the future of flight—designing, building and servicing engines unlike any the world has ever seen. And because transformation begins from within, we’re seeking the people to drive it. So, calling all curious.   Come ready to explore and you’ll find a place where your talent takes flight—beyond the borders of title, a country or your comfort zone. Bring your passion and commitment and we’ll welcome you into a tight-knit team that takes our mission personally. Channel your drive to make a difference into shaping an organization and an industry that’s evolving fast to the future.   Innovation through diversity of thought. At Pratt & Whitney, we believe diversity of thought enables creativity, innovation, and a foundation for inclusion. By fostering an inclusive culture, we accept a shared accountability and responsibility to recognize, sponsor, coach, hire and promote talent equally. We welcome our employees to be their whole - best - selves at work because trust, respect and integrity, are a part of our DNA.   At Pratt & Whitney, the difference you make is on display every day. Just look up. Are you ready to go beyond?   Job Summary:    Visually inspects product and segregates nonconforming material.   Carry out tasks not specifically listed, within the scope and skill level of this position in support of department objectives and to develop one’s skills.   Detailed inspection cert is required at the conclusion of training.   The hours for this position are Friday- Sunday, 6am – 6pm.    Key Responsibilities:    Perform Solumina required job audits for Op Cert surveillance.   Perform OpCert over inspects, as required.   Adhere to Achieving Competitive Excellence (ACE) guidelines and perform ACE duties as required.   Adhere to all EH & S guidelines, including wearing of required personal protective equipment.   Effectively communicate in both verbally and in written format.   Keep close attention to detail.    Basic Qualifications:    High School Diploma, GED, or equivalent.   U.S. citizenship is required, as only U.S. citizens are authorized to access information under this program/contract.   Basic computer experience.    Preferred Qualifications:    Computer experience with exposure to SAP, Solumina, and general Windows suite skills.   Clear understanding of ACE tools.   Basic understanding of print tolerances including ability to interpret some GD&T.   Working knowledge of Op Cert functions.   Meet vision requirements of NAS410 or internal equivalent.   Proficiency using precision measuring equipment.    What is my role type?   In addition to transforming the future of flight
  Pratt & Whitney is working to once again transform the future of flight—designing, building and servicing engines unlike any the world has ever seen. And because transformation begins from within, we’re seeking the people to drive it. So, calling all curious.   Come ready to explore and you’ll find a place where your talent takes flight—beyond the borders of title, a country or your comfort zone. Bring your passion and commitment and we’ll welcome you into a tight-knit team that takes our mission personally. Channel your drive to make a difference into shaping an organization and an industry that’s evolving fast to the future.   Innovation through diversity of thought. At Pratt & Whitney, we believe diversity of thought enables creativity, innovation, and a foundation for inclusion. By fostering an inclusive culture, we accept a shared accountability and responsibility to recognize, sponsor, coach, hire and promote talent equally. We welcome our employees to be their whole - best - selves at work because trust, respect and integrity, are a part of our DNA.   At Pratt & Whitney, the difference you make is on display every day. Just look up. Are you ready to go beyond?   Job Summary:    Visually inspects product and segregates nonconforming material.   Carry out tasks not specifically listed, within the scope and skill level of this position in support of department objectives and to develop one’s skills.   Detailed inspection cert is required at the conclusion of training.   The hours for this position are Friday- Sunday, 6am – 6pm.    Key Responsibilities:    Perform Solumina required job audits for Op Cert surveillance.   Perform OpCert over inspects, as required.   Adhere to Achieving Competitive Excellence (ACE) guidelines and perform ACE duties as required.   Adhere to all EH & S guidelines, including wearing of required personal protective equipment.   Effectively communicate in both verbally and in written format.   Keep close attention to detail.    Basic Qualifications:    High School Diploma, GED, or equivalent.   U.S. citizenship is required, as only U.S. citizens are authorized to access information under this program/contract.   Basic computer experience.    Preferred Qualifications:    Computer experience with exposure to SAP, Solumina, and general Windows suite skills.   Clear understanding of ACE tools.   Basic understanding of print tolerances including ability to interpret some GD&T.   Working knowledge of Op Cert functions.   Meet vision requirements of NAS410 or internal equivalent.   Proficiency using precision measuring equipment.    What is my role type?   In addition to transforming the future of flight
      This position is located within the Louisiana Department of Health / Office of Public Health / Region 1-BRCO / Orleans Parish   Announcement Number: OPH/SP/185623 Cost Center: 3262108001 Position Number: 50486276  This vacancy is being announced as a Classified position and may be filled as a Probationary or Promotional appointment.  Possession of a valid Louisiana license or temporary permit to practice professional nursing or a multi-state license issued by a Nursing Licensure Compact (NLC/eNLC) state plus three years of professional nursing experience is required.  No Civil Service test score is required in order to be considered for this vacancy.  Occupational Summary This Registered Nurse Supervisor is assigned to the Orleans Parish Health Unit in the Region 1 Office of Public Health and works as a hands on nursing supervisor. This RN supervisor provides first line supervision of nursing activities in any clinical setting, participates in parish level health unit operation and performs job duties as outlined and assigned within the scope of practice designated by the La. Nurse Practice Act (I.R.S. 37:911) and adheres to the policies, procedures and standards of the La. Dept. of Health /Office of Public Health. This RN is accountable for promoting a positive image and working harmoniously with other members of the health care team. This RN functions as the lead worker of the Reproductive Health Program in the parish health unit. Responsibilities also include performing generalized nursing duties according to OPH policies, procedures, and program protocols in the following programs: Immunization, STD, TB, RH. Additional functions of this position include responding to emergencies and public health threats 24/7, i.e. hurricanes, floods, pandemic flu, and other public health threats as they emerge. Administrative supervision is received by the Regional Nurse Manager.  40% Supervises the conduct of clinics to ensure patients receive needed services, program requirements are maintained and appropriate follow-up appointments and/or treatment are given utilizing the continuous quality improvement process. Maintains adequate required pharmaceuticals, appropriate equipment, and educational materials for the delivery of care. Updates the Reproductive Health manual as guidelines or protocols change. Responsible for the documentation of lab results in the client’s record. Maintains the Reproductive Health abnormal pap log. Utilizes the nursing process of assessment, planning, implementation and evaluation in the practice of professional nursing. Supervises and conducts nursing care for all parish programs such as Immunizations, STD, RH, and Tuberculosis. Analyzes statistical data in program activities, caseload and effectiveness to provide training. Assists in quality management process. Monitors public health practice for quality and appropriate utilization of services. Collaborates with parish, regional, and statewide personnel in planning, implementing and monitoring program guidelines and recommendations. Plans and evaluates performance of staff nurses. Participates in counseling and disciplinary action when needed.  25% Obtains complete health history
      This position is located within the Louisiana Department of Health / Office of Public Health / Region 1-BRCO / Orleans Parish   Announcement Number: OPH/SP/185623 Cost Center: 3262108001 Position Number: 50486276  This vacancy is being announced as a Classified position and may be filled as a Probationary or Promotional appointment.  Possession of a valid Louisiana license or temporary permit to practice professional nursing or a multi-state license issued by a Nursing Licensure Compact (NLC/eNLC) state plus three years of professional nursing experience is required.  No Civil Service test score is required in order to be considered for this vacancy.  Occupational Summary This Registered Nurse Supervisor is assigned to the Orleans Parish Health Unit in the Region 1 Office of Public Health and works as a hands on nursing supervisor. This RN supervisor provides first line supervision of nursing activities in any clinical setting, participates in parish level health unit operation and performs job duties as outlined and assigned within the scope of practice designated by the La. Nurse Practice Act (I.R.S. 37:911) and adheres to the policies, procedures and standards of the La. Dept. of Health /Office of Public Health. This RN is accountable for promoting a positive image and working harmoniously with other members of the health care team. This RN functions as the lead worker of the Reproductive Health Program in the parish health unit. Responsibilities also include performing generalized nursing duties according to OPH policies, procedures, and program protocols in the following programs: Immunization, STD, TB, RH. Additional functions of this position include responding to emergencies and public health threats 24/7, i.e. hurricanes, floods, pandemic flu, and other public health threats as they emerge. Administrative supervision is received by the Regional Nurse Manager.  40% Supervises the conduct of clinics to ensure patients receive needed services, program requirements are maintained and appropriate follow-up appointments and/or treatment are given utilizing the continuous quality improvement process. Maintains adequate required pharmaceuticals, appropriate equipment, and educational materials for the delivery of care. Updates the Reproductive Health manual as guidelines or protocols change. Responsible for the documentation of lab results in the client’s record. Maintains the Reproductive Health abnormal pap log. Utilizes the nursing process of assessment, planning, implementation and evaluation in the practice of professional nursing. Supervises and conducts nursing care for all parish programs such as Immunizations, STD, RH, and Tuberculosis. Analyzes statistical data in program activities, caseload and effectiveness to provide training. Assists in quality management process. Monitors public health practice for quality and appropriate utilization of services. Collaborates with parish, regional, and statewide personnel in planning, implementing and monitoring program guidelines and recommendations. Plans and evaluates performance of staff nurses. Participates in counseling and disciplinary action when needed.  25% Obtains complete health history
